Category: All categories

Week,tesco: (United Kingdom),morrisons: (United Kingdom),aldi: (United Kingdom),asda: (United Kingdom),Sainsburys: (United Kingdom)
2019-01-13,38,8,9,29,15
2019-01-20,39,8,9,30,15
2019-01-27,37,8,8,29,15
2019-02-03,38,9,8,31,15
2019-02-10,39,10,9,30,17
2019-02-17,38,9,8,31,16
2019-02-24,40,9,9,33,14
2019-03-03,38,9,8,32,15
2019-03-10,37,10,8,30,16
2019-03-17,36,9,9,30,15
2019-03-24,38,10,10,33,15
2019-03-31,37,10,11,32,15
2019-04-07,38,10,11,33,16
2019-04-14,54,16,16,45,24
2019-04-21,55,15,17,46,23
2019-04-28,36,10,13,32,15
2019-05-05,43,11,13,36,17
2019-05-12,38,9,11,33,15
2019-05-19,39,10,12,34,17
2019-05-26,44,12,13,36,19
2019-06-02,37,9,10,33,16
2019-06-09,38,10,10,32,15
2019-06-16,36,10,10,32,15
2019-06-23,38,10,12,35,16
2019-06-30,38,10,10,35,16
2019-07-07,38,10,11,32,15
2019-07-14,38,10,10,32,15
2019-07-21,43,10,11,37,17
2019-07-28,40,10,10,33,16
2019-08-04,39,10,10,33,16
2019-08-11,37,10,11,34,18
2019-08-18,40,11,11,35,18
2019-08-25,44,12,13,38,20
2019-09-01,37,9,10,34,16
2019-09-08,38,9,10,32,16
2019-09-15,38,10,10,33,15
2019-09-22,38,9,10,33,17
2019-09-29,40,10,10,35,17
2019-10-06,37,10,9,34,17
2019-10-13,40,10,10,37,24
2019-10-20,41,11,10,36,19
2019-10-27,42,11,12,35,18
2019-11-03,41,11,12,37,17
2019-11-10,43,11,12,39,18
2019-11-17,43,11,12,42,18
2019-11-24,47,13,14,41,20
2019-12-01,44,13,12,40,19
2019-12-08,48,13,13,40,20
2019-12-15,56,17,16,49,26
2019-12-22,78,22,19,59,33
2019-12-29,59,16,15,47,25
2020-01-05,36,9,11,30,15
2020-01-12,35,9,9,29,14
2020-01-19,34,9,10,29,15
2020-01-26,36,9,9,29,14
2020-02-02,37,9,9,30,14
2020-02-09,37,10,9,28,16
2020-02-16,36,9,9,29,14
2020-02-23,38,10,9,31,15
2020-03-01,40,11,10,34,17
2020-03-08,45,13,12,35,18
2020-03-15,92,33,19,62,41
2020-03-22,100,51,20,83,48
2020-03-29,93,36,21,72,39
2020-04-05,88,34,20,71,37
